system:index,threshold_type,dfo_centroid_x,dfo_centroid_y,dfo_cause,gfd_area
DFO_2170_From_20030222_to_20030324,std,138.397895,-29.212829,Heavy rain,15589.81
DFO_2172_From_20030127_to_20030207,std,22.223743,39.608875,Heavy rain,1157.06
DFO_2173_From_20030111_to_20030422,std,-50.481932,-11.878068,Heavy rain,4622.59
DFO_2174_From_20030117_to_20030303,std,26.714824,41.591029,Heavy rain,2621.4
DFO_2175_From_20030204_to_20030312,std,28.31203,38.089335,Heavy rain,2158.44
DFO_2176_From_20030302_to_20030311,std,124.222901,-17.970507,Heavy rain,1737.73
DFO_2177_From_20030226_to_20030307,std,-88.017873,37.41102,Heavy rain,1959.52
DFO_2178_From_20030305_to_20030316,std,32.664524,-21.37826,Heavy rain,797.9
DFO_2179_From_20030227_to_20030310,std,-1.035382,41.834366,Heavy rain,360.38
DFO_2180_From_20030307_to_20030317,std,133.126397,-14.085462,Heavy rain,6202.65
DFO_2181_From_20030311_to_20030315,std,27.689975,-16.066257,Heavy rain,416.15
DFO_2183_From_20030319_to_20030331,std,-81.775621,35.151636,Heavy rain,4409.32
DFO_2194_From_20030326_to_20030328,std,34.90579,-19.764418,Heavy rain,178.8
DFO_2206_From_20030416_to_20030604,std,47.192685,40.941743,Heavy rain,2122.38
DFO_2216_From_20030428_to_20030510,std,-60.497122,-31.579077,Heavy rain,23062.27
DFO_2220_From_20030414_to_20030504,std,143.695571,-4.402145,Heavy rain,545.82
DFO_2222_From_20030503_to_20030506,otsu,103.543957,-1.503825,Heavy rain,247.91
DFO_2224_From_20030504_to_20030520,std,44.63536,5.371116,Heavy rain,202.14
DFO_2225_From_20030506_to_20030514,otsu,-85.484459,35.214217,Heavy rain,18635.0
DFO_2248_From_20030611_to_20031010,std,90.853814,26.170616,Heavy rain,79213.43
DFO_2253_From_20030613_to_20030619,otsu,-82.363306,38.357408,Heavy rain,3175.64
DFO_2257_From_20030619_to_20030703,std,91.932656,21.923872,Heavy rain,1262.34
DFO_2261_From_20030623_to_20030728,std,118.401191,28.83099,Heavy rain,14553.62
DFO_2264_From_20030625_to_20030626,std,124.376833,7.043913,Heavy rain,457.28
DFO_2269_From_20030701_to_20030807,std,115.717939,32.51656,Heavy rain,7778.61
DFO_2273_From_20030705_to_20030721,std,-85.976116,39.788686,Heavy rain,765.06
DFO_2276_From_20030702_to_20030901,std,95.503476,20.574716,Heavy rain,10302.48
DFO_2279_From_20030715_to_20030901,std,72.2101,28.731898,Heavy rain,37741.14
DFO_2284_From_20030719_to_20030723,std,121.26678,16.501894,"Tropical Storm, Surge",437.9
DFO_2296_From_20030727_to_20031010,std,124.701838,47.943961,Heavy rain,13836.29
DFO_2303_From_20030803_to_20031102,std,20.249655,10.996461,Heavy rain,6827.49
DFO_2311_From_20030805_to_20031012,std,4.735272,12.394812,Heavy rain,4004.05
DFO_2314_From_20030805_to_20031012,std,10.012759,12.63425,Heavy rain,726.74
DFO_2316_From_20030809_to_20031105,std,-12.940183,15.939171,Heavy rain,3737.17
DFO_2320_From_20030810_to_20031019,std,-3.10202,14.211698,Heavy rain,7280.71
DFO_2330_From_20030824_to_20030827,std,147.481311,-41.693254,Heavy rain,59.17
DFO_2332_From_20030824_to_20031112,std,107.984942,35.681249,Heavy rain,16906.43
DFO_2336_From_20030827_to_20030829,otsu,44.369848,44.70018,Heavy rain,784.99
DFO_2337_From_20030826_to_20030830,otsu,103.018185,30.031634,Heavy rain,6383.01
DFO_2338_From_20030827_to_20031020,std,85.893641,20.625759,Heavy rain,8236.7
DFO_2342_From_20030901_to_20030909,std,-86.61734,39.734374,Heavy rain,206.01
DFO_2345_From_20030905_to_20031028,std,7.48686,10.514296,Heavy rain,3316.53
DFO_2347_From_20030912_to_20031012,std,101.592527,17.372818,Heavy rain,10645.16
DFO_2348_From_20030912_to_20030915,std,128.019188,35.234941,"Tropical Storm, Surge",125.29
